machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,operating_hours,vibration,pressure,failure
Type A,294.80465534201795,302.0781971318962,1222.6907165992482,27.58262187848633,84,3403.48119690515,2.4931213470039175,54.243299380360774,0
Type C,306.47050430031203,324.59610495942604,1416.85920463041,63.973765895977024,9,1367.3169703271524,3.4262720387101298,52.666780585518815,0
Type B,300.2422831192968,310.112385823627,1584.898155813796,50.87110198488766,113,3116.3440569473305,2.5015091898754545,44.95030560193333,0
Type B,298.02042975596703,312.13264401756373,1455.4741332950916,42.09202492486641,106,4669.231224974765,2.1110335755537375,56.04550759389074,0
Type B,299.256726485642,309.0435150096774,1146.6228504379537,54.25079332625445,156,3048.704329066621,2.852605322777711,54.33066758298386,0
Type C,301.56185412884315,311.43887879980105,1747.2661553438847,28.31365114010628,24,3334.5234465724075,2.010244113365783,63.27568119053895,0
Type A,304.31769939782845,311.9815820649404,815.2971407641666,37.113851212305065,153,4542.991437327153,2.820082907568355,69.0908535539272,0
Type C,293.0020143993143,303.47851011677943,1388.4087112428913,54.44250396402379,100,4295.489258204536,2.748304560485101,58.19515238289963,0
Type A,292.7088865716511,303.98088134930725,1344.950386361521,21.329398191050352,184,4521.751087651711,2.3863583993161024,50.123586350436355,0
Type A,307.73275450781773,314.595720472157,1537.0447194678536,45.604577749588046,245,727.4463899462971,2.839486943252096,59.52707064142948,0
Type B,297.1136418945669,306.61346423112735,1640.4154519506837,45.32176159845154,56,5233.52303844211,1.6073260418149888,55.06512046324331,0
Type C,290.0821053518219,297.64170988759344,1781.691202065259,59.69225816822163,188,4136.400435427929,2.5977772727949917,53.31912322352951,0
Type C,303.1066889656817,322.30534524414105,1321.89878166196,24.170445802777635,31,5961.47641402415,2.2223407691999606,48.96879215174132,0
Type C,303.2435886422288,312.8846655625823,1646.6455843333704,56.096310570316334,246,2717.673969225716,4.217358146370713,51.75045972544595,0
Type C,289.28499319920303,305.4659218059893,1548.9545969703652,34.40529256851097,120,1736.5493943510896,2.5934950417841245,53.75546292108321,0
Type C,301.6063720082452,310.82388268501444,1072.1151562041941,35.529905400881454,186,3507.2184567251766,2.142164770129938,60.628674745158136,0
Type B,305.14908164699864,316.1862322131383,1975.1350638585275,27.77995613040207,194,3224.627670242839,1.673018958368151,58.577179062855066,0
Type A,302.6207051619438,307.33524887536277,1140.3062181899502,29.12147962533075,152,4153.6639836148215,3.2832437180765597,67.77903300049947,0
Type C,304.4238703863298,312.6355800188583,1604.8743180774288,44.03522347453922,96,4574.928344586356,2.2899803682857334,59.7203665169253,0
